"STATION","NAME","DATE","PRCP","SNOW","TMAX","TMIN"
"USC00106152","MOSCOW U OF I, ID US","2021-09-22","0.00","0.0","76","47"
"USC00106152","MOSCOW U OF I, ID US","2021-09-23","0.00","0.0","73","39"
"USC00106152","MOSCOW U OF I, ID US","2021-09-24","0.00","0.0","80","38"
"USC00106152","MOSCOW U OF I, ID US","2021-09-25","0.00","0.0","83","49"
"USC00106152","MOSCOW U OF I, ID US","2021-09-26","0.00","0.0","77","42"
"USC00106152","MOSCOW U OF I, ID US","2021-09-27","0.00","0.0","75","39"
"USC00106152","MOSCOW U OF I, ID US","2021-09-28","0.35","0.0","65","42"
"USC00106152","MOSCOW U OF I, ID US","2021-09-29","0.00","0.0","63","34"
"USC00106152","MOSCOW U OF I, ID US","2021-09-30","0.00","0.0","75","39"
"USC00106152","MOSCOW U OF I, ID US","2021-10-01","0.02","0.0","70","46"
"USC00106152","MOSCOW U OF I, ID US","2021-10-02","0.00","0.0","71","33"
"USC00106152","MOSCOW U OF I, ID US","2021-10-03","0.00","0.0","73","36"
"USC00106152","MOSCOW U OF I, ID US","2021-10-04","0.00","0.0","82","40"
"USC00106152","MOSCOW U OF I, ID US","2021-10-05","0.00","0.0","80","48"
"USC00106152","MOSCOW U OF I, ID US","2021-10-06","0.05","0.0","70","39"
"USC00106152","MOSCOW U OF I, ID US","2021-10-07","0.00","0.0","61","25"
"USC00106152","MOSCOW U OF I, ID US","2021-10-08","0.03","0.0","54","31"
"USC00106152","MOSCOW U OF I, ID US","2021-10-09","0.00","0.0","59","23"
"USC00106152","MOSCOW U OF I, ID US","2021-10-10","0.01","0.0","58","38"
"USC00106152","MOSCOW U OF I, ID US","2021-10-11","0.00","0.0","53","21"
"USC00106152","MOSCOW U OF I, ID US","2021-10-12","0.00","0.0","53","14"
"USC00106152","MOSCOW U OF I, ID US","2021-10-13","0.06","0.0","48","24"
"USC00106152","MOSCOW U OF I, ID US","2021-10-14","0.03","0.0","52","22"
"USC00106152","MOSCOW U OF I, ID US","2021-10-15","0.00","0.0","58","36"
"USC00106152","MOSCOW U OF I, ID US","2021-10-16","0.00","0.0","72","38"
"USC00106152","MOSCOW U OF I, ID US","2021-10-17","0.00","0.0","75","44"
"USC00106152","MOSCOW U OF I, ID US","2021-10-18","0.00","0.0","66","33"
"USC00106152","MOSCOW U OF I, ID US","2021-10-19","0.00","0.0","68","27"
"USC00106152","MOSCOW U OF I, ID US","2021-10-20","0.01","0.0","62","45"
"USC00106152","MOSCOW U OF I, ID US","2021-10-21","0.00","0.0","69","42"
"USC00106152","MOSCOW U OF I, ID US","2021-10-22","0.17","0.0","62","44"
"USC00106152","MOSCOW U OF I, ID US","2021-10-23","0.16","0.0","53","33"
"USC00106152","MOSCOW U OF I, ID US","2021-10-24","0.22","0.0","49","37"
"USC00106152","MOSCOW U OF I, ID US","2021-10-25","0.46","0.0","53","38"
"USC00106152","MOSCOW U OF I, ID US","2021-10-26","0.08","0.0","54","35"
"USC00106152","MOSCOW U OF I, ID US","2021-10-27","0.03","0.0","52","29"
"USC00106152","MOSCOW U OF I, ID US","2021-10-28","0.06","0.0","55","38"
"USC00106152","MOSCOW U OF I, ID US","2021-10-29","0.52","0.0","51","44"
"USC00106152","MOSCOW U OF I, ID US","2021-10-30","0.02","0.0","50","26"
"USC00106152","MOSCOW U OF I, ID US","2021-10-31","0.00","0.0","50","22"
"USC00106152","MOSCOW U OF I, ID US","2021-11-01","0.00","0.0","56","25"
"USC00106152","MOSCOW U OF I, ID US","2021-11-02","0.05","0.0","55","36"
"USC00106152","MOSCOW U OF I, ID US","2021-11-03","0.00","0.0","58","42"
"USC00106152","MOSCOW U OF I, ID US","2021-11-04","0.28","0.0","54","42"
"USC00106152","MOSCOW U OF I, ID US","2021-11-05","0.07","0.0","48","34"
"USC00106152","MOSCOW U OF I, ID US","2021-11-06","0.55","0.0","46","31"
"USC00106152","MOSCOW U OF I, ID US","2021-11-07","0.00","0.0","46","24"
"USC00106152","MOSCOW U OF I, ID US","2021-11-08","0.00","0.0","48","29"
"USC00106152","MOSCOW U OF I, ID US","2021-11-09","0.48","0.0","46","30"
"USC00106152","MOSCOW U OF I, ID US","2021-11-10","0.00","0.0","43","26"
"USC00106152","MOSCOW U OF I, ID US","2021-11-11","0.15","0.0","38","28"
"USC00106152","MOSCOW U OF I, ID US","2021-11-12","1.34","0.0","52","35"
"USC00106152","MOSCOW U OF I, ID US","2021-11-13","0.37","0.0","52","36"
"USC00106152","MOSCOW U OF I, ID US","2021-11-14","0.16","0.0","62","40"
"USC00106152","MOSCOW U OF I, ID US","2021-11-15","0.00","0.0","60","39"
"USC00106152","MOSCOW U OF I, ID US","2021-11-16","0.01","0.0","56","29"
"USC00106152","MOSCOW U OF I, ID US","2021-11-17","0.00","0.0","39","17"
"USC00106152","MOSCOW U OF I, ID US","2021-11-18","0.03","0.0","38","28"
"USC00106152","MOSCOW U OF I, ID US","2021-11-19","0.76","0.0","48","29"
"USC00106152","MOSCOW U OF I, ID US","2021-11-20","0.09","0.0","40","28"
"USC00106152","MOSCOW U OF I, ID US","2021-11-21","0.00","0.0","41","28"
"USC00106152","MOSCOW U OF I, ID US","2021-11-22","0.00","0.0","48","30"
"USC00106152","MOSCOW U OF I, ID US","2021-11-23","0.30","1.5","43","29"
"USC00106152","MOSCOW U OF I, ID US","2021-11-24","0.00","0.0","40","23"
"USC00106152","MOSCOW U OF I, ID US","2021-11-25","0.00","0.0","40","30"
